id,response,category
1,The product quality is excellent and shipping was fast,Excellent Quality/Shipping
2,"Terrible customer service, very disappointed",Poor Customer Service
3,"Average product, nothing special but works fine",Product Functionality - Works Fine
4,Love it! Best purchase I've made this year,High Satisfaction/Love
5,"Broken on arrival, had to return it",Product Defect/Damage
6,"Good value for money, would recommend",Good Value/Recommend
7,Not sure how I feel about it yet,Uncertain/Neutral Feeling
8,The color is different from the picture,Color Discrepancy
9,Amazing! Exceeded my expectations,Exceeded Expectations
10,"Waste of money, complete garbage",Poor Quality/Waste
